title,company,location,salary_min,salary_max,description,created,search_title,skills_found,salary_range,skill_count,has_salary
Fund Accountant,Nuvama Asset Services,"Mumbai, Maharashtra",,,"About the Role We are looking for a hands-on analyst who will build, automate, and optimize operational workflows across Fund Accounting Operations. The ideal candidate is strong in Excel Macros/VBA, SQL , Power Automate , BI Publisher and Power BI , with a preference for candidates experienced in Oracle SQL and comfortable working with Wealth Spectrum (SQL-based) / Multifonds data structures. You will partner with FA Ops and Tech teams to deliver robust automation, reconciliations, and MIS/ana…",2026-06-18T15:55:07Z,Data Analyst,"sql, excel, power bi",Not disclosed,3,False
Assistant Professor Business Analytics,CHANDIGARH UNIVERSITY,India,,,"Key Responsibilities 1. Teaching & Academic Delivery Deliver engaging, high-quality lectures on core subjects such as Predictive Analytics, Data Visualization, Data Mining, Business Intelligence, and Domain-Specific Analytics (Marketing, HR, Finance). Facilitate hands-on training sessions in dedicated Data Analytics labs using live datasets and case studies. Design, develop, and regularly update course modules, lesson plans, and assessments to keep pace with emerging industry trends. 2. Technic…",2026-06-18T15:54:36Z,Data Analyst,data visualization,Not disclosed,1,False
Data Analyst,AcquireX,"Pune, Maharashtra",,,"Job Title- Data Analyst Experience- 6 plus years. Location- Viman Nagar Pune. Timings- 11 am- 8 pm. Be part of AcquireX team that unleashes the power of leading-edge technologies to help improve e-commerce processes in the e-commerce world. We are looking for a Data Analyst to analyze, transform, and validate data that powers analytics, reporting, and operational decision-making. You will work with multiple data sources and internal systems to ensure data accuracy, consistency, and usability. K…",2026-05-06T10:46:14Z,Data Analyst,,Not disclosed,0,False
Data Analyst,,"Thiruvananthapuram, Kerala",,,Immediate requirement for the post of Data Analyst on rotation Shift (Male or Female). Persons only willing to work in both shifts need to apply.careers.coretechgmail.comorplease contact 9.4.nine.6.8.1.5.6.3.0,2024-05-10T07:38:46Z,Data Analyst,,Not disclosed,0,False
Data Analyst,SkySun,India,,,"Role Overview We are looking for a Data Analyst with strong expertise in Microsoft Excel who can efficiently work with large datasets, formulas, and analytical models. The ideal candidate should be able to transform raw data into meaningful insights , build efficient spreadsheets, and support business decisions through structured analysis and reporting. This role requires someone who is highly detail-oriented, analytical, and extremely efficient in Excel-based data handling. Key Responsibilitie…",2026-03-27T13:39:38Z,Data Analyst,excel,Not disclosed,1,False
Data Analyst,LRN Corporation,India,,,"Position: Data Analyst Location: Mumbai, India About LRN: LRN is the world’s leading dedicated ethics and compliance SaaS company, helping more than 30 million people every year navigate complex regional and global regulatory environments and build ethical, responsible cultures. With over 3,000 clients across the US, EMEA, APAC, and Latin America—including some of the world’s most respected and successful brands—we’re proud to be the long-term partner trusted to reduce organizational risk and d…",2026-04-09T01:03:12Z,Data Analyst,,Not disclosed,0,False
Data Analyst,Time Hack Consulting,"Bangalore, Karnataka",50000,1200000,"About the Role We are looking for highly analytical and detail-oriented Data Analysts from the 2026 graduating batch who are passionate about working with data and solving real-world business problems. This role will involve working across functions, applying analytics to drive data-driven decision-making. Key Responsibilities ● Extract, clean, and analyse large datasets using SQL and Python ● Perform statistical analysis to derive actionable insights, identify trends, patterns, and anomalies ●…",2026-04-17T05:43:28Z,Data Analyst,"python, sql","50,000 - 1,200,000",2,True
Data Analyst,IIDE,"Kurla, Mumbai",,,"Job Description Work Timings: 10:15 AM – 7:15 PM Working Days: Monday to Saturday (2nd, 4th & 5th Saturdays off) Work Mode: Work From Office Location: Mumbai (Lower Parel; occasional Andheri campus visits) About IIDE: IIDE is India’s leading digital business school, offering industry-relevant programs in digital marketing, AI, and business. With a strong focus on experiential learning, we equip students, graduates, and working professionals with the skills required to thrive in today’s digital-…",2026-06-10T17:05:18Z,Data Analyst,,Not disclosed,0,False
Data Analyst,Trigent Software Private Limited,"Richmond Town, Bangalore",100000,3800000,"Looking profiles with 6-9 yrs experiences Proficient in SQL and at least one programming language (Python, Java, or Scala). Experience with ETL tools and workflow orchestration (e.g., AWS Glue, Apache Airflow, Luigi, Talend). Hands-on experience with cloud platforms AWS, is must Good to have (GCP, or Azure) and services like S3, Redshift, BigQuery, or Data Factory. Familiarity with big data tools such as Hadoop, Spark, and Kafka. Knowledge of data modeling and warehousing concepts. Experience w…",2026-06-29T23:20:10Z,Data Analyst,"python, sql, spark, aws, azure","100,000 - 3,800,000",5,True
Data Analyst,Sopra Steria,"Noida, Ghaziabad",,,"Job Description Skills : 4-6 years of professional relevant experience in ODI development. Strong experience with Oracle Fusion Applications as a data source. Proven track record of 2–3 ODI projects (end-to-end implementation). Proficiency in SQL, PL/SQL, and Oracle database concepts. Knowledge of ETL best practices and data warehousing principles. Ability to troubleshoot and resolve complex integration issues. Key Responsibilities: ODI Development: Design, develop, and implement ETL processes …",2026-06-18T04:52:29Z,Data Analyst,sql,Not disclosed,1,False
